Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[Microsoft.VisualBasic.ni.dll]","14,433",89.47,"16,045",99.47,0,0,0,0,
"[System.Windows.Forms.ni.dll]",550,3.41,768,4.76,0,0,0,0,
"[mscorlib.ni.dll]",156,0.97,376,2.33,0,0,0,0,
"VRCM.veeBOT.sec_refresh_Tick",145,0.90,148,0.92,463,9,463,98,
"[System.ni.dll]",110,0.68,110,0.68,0,0,0,0,
"VRCM.loc.load_combo",83,0.51,83,0.51,135,21,135,50,
"VRCM.veeBOT.sec_refresh_Tick",79,0.49,83,0.51,475,13,475,71,
"[clr.dll]",54,0.33,56,0.35,0,0,0,0,
"VRCM.loc.loc_Load",53,0.33,138,0.86,90,9,90,21,
"[KernelBase.dll]",43,0.27,43,0.27,0,0,0,0,
"dynamicClass.IL_STUB_PInvoke",42,0.26,42,0.26,0,0,0,0,
"VRCM.loc.Dispose",40,0.25,40,0.25,13,13,13,38,
"[ntdll.dll]",35,0.22,35,0.22,0,0,0,0,
"dynamicClass.IL_STUB_PInvoke",34,0.21,34,0.21,0,0,0,0,
"VRCM.veeBOT.sec_refresh_Tick",29,0.18,42,0.26,465,9,465,67,
"VRCM.loc.Timer1_Tick",28,0.17,34,0.21,216,9,216,65,
"VRCM.loc..ctor",25,0.15,167,1.04,7,9,7,31,
"dynamicClass.IL_STUB_PInvoke",21,0.13,21,0.13,0,0,0,0,
"[SophosAmsiProvider.dll]",19,0.12,77,0.48,0,0,0,0,
"[System.Data.ni.dll]",16,0.10,81,0.50,0,0,0,0,
"VRCM.NativeMethods.Dispose",11,0.07,11,0.07,13,13,13,38,
"VRCM.veeBOT.App_Timer_Tick",10,0.06,106,0.66,738,17,738,61,
"VRCM.veeBOT.sec_refresh_Tick",8,0.05,8,0.05,476,9,476,74,
"VRCM.veeBOT.sec_refresh_Tick",8,0.05,9,0.06,481,9,481,78,
"VRCM.NativeMethods.Windows_Lock_Load",7,0.04,7,0.04,47,9,47,26,
"[kernel32.dll]",6,0.04,6,0.04,0,0,0,0,
"VRCM.loc.loc_Load",6,0.04,6,0.04,91,9,91,26,
"[System.Drawing.ni.dll]",4,0.02,4,0.02,0,0,0,0,
"VRCM.veeBOT.GetWindowTitle",4,0.02,6,0.04,131,21,131,51,
"VRCM.veeBOT.sec_refresh_Tick",4,0.02,5,0.03,467,9,467,37,
"VRCM.veeBOT.Timer1_Tick",4,0.02,5,0.03,560,13,560,53,
"[System.Transactions.ni.dll]",3,0.02,3,0.02,0,0,0,0,
"MySql.Data.MySqlClient.MySqlConnection.get_State",3,0.02,3,0.02,0,0,0,0,
"VRCM.IdleTime.get_IdleTime",3,0.02,3,0.02,11,9,11,12,
"VRCM.loc.update_break_details",3,0.02,23,0.14,18,21,18,374,
"VRCM.veeBOT.get_lbl_lock",3,0.02,3,0.02,0,0,0,0,
"VRCM.veeBOT.Remainder_Tick",3,0.02,197,1.22,"1,174",13,"1,174",278,
"VRCM.veeBOT.sec_refresh_Tick",3,0.02,5,0.03,464,9,464,29,
"VRCM.veeBOT.Timer1_Tick",3,0.02,3,0.02,558,5,558,62,
"MySql.Data.MySqlClient.Statement.InternalBindParameters",2,0.01,16,0.10,0,0,0,0,
"VRCM.connection_module.mysql_data_str",2,0.01,82,0.51,42,13,42,35,
"VRCM.loc.Timer1_Tick",2,0.01,2,0.01,214,5,214,62,
"[hmpalert.dll]",1,0.01,23,0.14,0,0,0,0,
"[user32.dll]",1,0.01,1,0.01,0,0,0,0,
"[wow64cpu.dll]",1,0.01,1,0.01,0,0,0,0,
"dynamicClass.IL_STUB_PInvoke",1,0.01,1,0.01,0,0,0,0,
"MySql.Data.MySqlClient.Driver.GetColumns",1,0.01,17,0.11,0,0,0,0,
"MySql.Data.MySqlClient.MySqlPacket.ReadString",1,0.01,7,0.04,0,0,0,0,
"MySql.Data.MySqlClient.MySqlPool.ReleaseConnection",1,0.01,4,0.02,0,0,0,0,
"MySql.Data.MySqlClient.MySqlStream.LoadPacket",1,0.01,49,0.30,0,0,0,0,
"MySql.Data.MySqlClient.MySqlStream.ReadFully",1,0.01,47,0.29,0,0,0,0,
"MySql.Data.MySqlClient.MySqlTrace.LogError",1,0.01,2,0.01,0,0,0,0,
"MySql.Data.MySqlClient.NativeDriver.ResetTimeout",1,0.01,1,0.01,0,0,0,0,
"MySql.Data.MySqlClient.TimedStream.Write",1,0.01,56,0.35,0,0,0,0,
"VRCM.IdleTime.get_IdleTime",1,0.01,4,0.02,14,13,14,57,
"VRCM.loc.get_Label4",1,0.01,1,0.01,0,0,0,0,
"VRCM.loc.load_combo",1,0.01,1,0.01,137,21,137,31,
"VRCM.loc.loc_Load",1,0.01,1,0.01,110,9,110,26,
"VRCM.loc.set_Panel6",1,0.01,1,0.01,0,0,0,0,
"VRCM.loc.Timer1_Tick",1,0.01,1,0.01,215,9,215,30,
"VRCM.Messenger.Messenger_Load",1,0.01,1,0.01,57,9,57,39,
"VRCM.My.MyProject+ThreadSafeObjectProvider`1[System.__Canon].get_GetInstance",1,0.01,1,0.01,343,21,343,47,
"VRCM.NativeMethods.activate_lock_screen",1,0.01,1,0.01,32,9,32,30,
"VRCM.NativeMethods.Windows_Lock_Load",1,0.01,2,0.01,48,9,48,31,
"VRCM.public_declaration.mysql_date_format",1,0.01,2,0.01,90,13,90,63,
"VRCM.public_declaration.Trim_Replace",1,0.01,1,0.01,70,5,70,70,
"VRCM.veeBOT.App_Timer_Tick",1,0.01,1,0.01,734,5,734,65,
"VRCM.veeBOT.App_Timer_Tick",1,0.01,1,0.01,736,13,736,38,
"VRCM.veeBOT.App_Timer_Tick",1,0.01,25,0.15,737,21,737,78,
"VRCM.veeBOT.App_Timer_Tick",1,0.01,222,1.38,743,17,743,112,
"VRCM.veeBOT.auto_sign_out",1,0.01,1,0.01,974,13,974,117,
"VRCM.veeBOT.get_sbar_ist",1,0.01,1,0.01,0,0,0,0,
"VRCM.veeBOT.GetWindowTitle",1,0.01,1,0.01,128,17,128,47,
